[2024-07-04 13:08:20,746][root][INFO] - Computing EIG. Start Prompt: 0. End Prompt: 200
Saving to: data/expected_info_gain/hai_start_0_end_200_n_user_2_seed_0_1_one_turn_reminder_with_user.json
Convo file: data/conversations/hai_start_0_end_200_n_user_2_seed_0_1.json
N_USER: 2
INFO 07-04 13:08:20 llm_engine.py:79] Initializing an LLM engine with config: model='meta-llama/Meta-Llama-3-8B-Instruct', tokenizer='meta-llama/Meta-Llama-3-8B-Instruct', tokenizer_mode=auto, revision=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=8192, download_dir='/scr/jphilipp/stargate/pretrained_models/Meta-Llama-3-8B-Instruct', load_format=auto, tensor_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=False, kv_cache_dtype=auto, device_config=cuda, seed=0)
INFO 07-04 13:08:23 weight_utils.py:163] Using model weights format ['*.safetensors']
INFO 07-04 13:08:27 llm_engine.py:337] # GPU blocks: 27885, # CPU blocks: 2048
INFO 07-04 13:08:28 model_runner.py:666] Capturing the model for CUDA graphs. This may lead to unexpected consequences if the model is not static. To run the model in eager mode, set 'enforce_eager=True' or use '--enforce-eager' in the CLI.
INFO 07-04 13:08:28 model_runner.py:670] CUDA graphs can take additional 1~3 GiB memory per GPU. If you are running out of memory, consider decreasing `gpu_memory_utilization` or enforcing eager mode. You can also reduce the `max_num_seqs` as needed to decrease memory usage.
INFO 07-04 13:08:32 model_runner.py:738] Graph capturing finished in 3 secs.
[2024-07-04 13:09:23,621][root][INFO] - 0.003734672158502761
[2024-07-04 13:09:23,621][root][INFO] - 0.0018916439570997312
[2024-07-04 13:09:23,622][root][INFO] - 0.0005584592817406975
[2024-07-04 13:09:23,622][root][INFO] - 0.0035148664669772955
[2024-07-04 13:09:23,622][root][INFO] - 0.01631846172183815
[2024-07-04 13:09:23,622][root][INFO] - 0.02874290776239774
[2024-07-04 13:09:23,622][root][INFO] - 0.013898585471570524
[2024-07-04 13:09:23,622][root][INFO] - 0.011400483881431445
[2024-07-04 13:09:23,623][root][INFO] - 0.00995981764281817
[2024-07-04 13:09:23,623][root][INFO] - 0.030352036751750244
[2024-07-04 13:09:23,623][root][INFO] - 0.02127925797139074
[2024-07-04 13:09:23,623][root][INFO] - 0.015938773699046838
[2024-07-04 13:09:23,623][root][INFO] - 0.012899836091815775
[2024-07-04 13:09:23,624][root][INFO] - 0.02220675530378191
[2024-07-04 13:09:23,624][root][INFO] - 0.0387614053642833
[2024-07-04 13:09:23,624][root][INFO] - 0.05797107871787888
[2024-07-04 13:09:23,624][root][INFO] - 0.020852670242209603
[2024-07-04 13:09:23,625][root][INFO] - 0.007233113051281936
[2024-07-04 13:09:23,625][root][INFO] - 0.03769489602824927
[2024-07-04 13:09:23,625][root][INFO] - 0.06102215131843991
[2024-07-04 13:09:23,625][root][INFO] - 0.007897578563331953
[2024-07-04 13:09:23,625][root][INFO] - 0.028211332920823118
[2024-07-04 13:09:23,626][root][INFO] - 0.007997962037428641
[2024-07-04 13:09:23,626][root][INFO] - 0.03977795005016582
[2024-07-04 13:09:23,626][root][INFO] - 0.05894224735814513
[2024-07-04 13:09:23,626][root][INFO] - 0.01885625397808255
[2024-07-04 13:09:23,627][root][INFO] - 0.006384200239294868
[2024-07-04 13:09:23,627][root][INFO] - 0.013054534913149451
[2024-07-04 13:09:23,627][root][INFO] - 0.014701182498385368
[2024-07-04 13:09:23,627][root][INFO] - 0.02871307721688754
[2024-07-04 13:09:23,628][root][INFO] - 0.014133160606210726
[2024-07-04 13:09:23,628][root][INFO] - 0.017072566664503075
[2024-07-04 13:09:23,628][root][INFO] - 0.007248834106517776
[2024-07-04 13:09:23,628][root][INFO] - 0.034803265971536934
[2024-07-04 13:09:23,628][root][INFO] - 0.061608058552009126
[2024-07-04 13:09:23,629][root][INFO] - 0.0537384149572977
[2024-07-04 13:09:23,629][root][INFO] - 0.027385621922348502
[2024-07-04 13:09:23,629][root][INFO] - 0.008395650919498898
[2024-07-04 13:09:23,629][root][INFO] - 0.011884761172558544
[2024-07-04 13:09:23,630][root][INFO] - 0.0293023733604465
[2024-07-04 13:09:23,630][root][INFO] - 0.02498568962357428
[2024-07-04 13:09:23,630][root][INFO] - 0.013182536330686556
[2024-07-04 13:09:23,631][root][INFO] - 0.013333281706418898
[2024-07-04 13:09:23,631][root][INFO] - 0.01343850844273975
[2024-07-04 13:09:23,631][root][INFO] - 0.13079586104965157
[2024-07-04 13:09:23,632][root][INFO] - 0.01824740941086178
[2024-07-04 13:09:23,632][root][INFO] - 0.02392744496337773
[2024-07-04 13:09:23,633][root][INFO] - 0.05006979090600039
[2024-07-04 13:09:23,633][root][INFO] - 0.018680442244404682
[2024-07-04 13:09:23,633][root][INFO] - 0.08425067621999949
[2024-07-04 13:09:23,634][root][INFO] - 0.01757874631534362
[2024-07-04 13:09:23,634][root][INFO] - 0.018228874650242588
[2024-07-04 13:09:23,635][root][INFO] - 0.0063564097431909605
[2024-07-04 13:09:23,635][root][INFO] - 0.008362171860924361
[2024-07-04 13:09:23,636][root][INFO] - 0.05076811778471946
[2024-07-04 13:09:23,636][root][INFO] - 0.05479906423616909
[2024-07-04 13:09:23,637][root][INFO] - 0.06682081891687264
[2024-07-04 13:09:23,637][root][INFO] - 0.028440595278816705
[2024-07-04 13:09:23,637][root][INFO] - 0.13071295546898765
[2024-07-04 13:09:23,638][root][INFO] - 0.03015674450576844
[2024-07-04 13:09:23,638][root][INFO] - 0.02685004586152706
[2024-07-04 13:09:23,639][root][INFO] - 0.006602865980073425
[2024-07-04 13:09:23,639][root][INFO] - 0.013816745335437641
[2024-07-04 13:09:23,639][root][INFO] - 0.01045321909785013
[2024-07-04 13:09:23,640][root][INFO] - 0.03155199562441657
[2024-07-04 13:09:23,640][root][INFO] - 0.0321255888361105
[2024-07-04 13:09:23,640][root][INFO] - 0.025280669483548124
[2024-07-04 13:09:23,641][root][INFO] - 0.01779150291879894
[2024-07-04 13:09:23,641][root][INFO] - 0.027485642780503028
[2024-07-04 13:09:23,642][root][INFO] - 0.04534012367413376
[2024-07-04 13:09:23,642][root][INFO] - 0.008282624100670155
[2024-07-04 13:09:23,642][root][INFO] - 0.032570437138624175
[2024-07-04 13:09:23,643][root][INFO] - 0.005446257772924179
[2024-07-04 13:09:23,643][root][INFO] - 0.015014216615255371
[2024-07-04 13:09:23,644][root][INFO] - 0.263801225849962
[2024-07-04 13:09:23,644][root][INFO] - 0.0068962786760613515
[2024-07-04 13:09:23,644][root][INFO] - 0.005921602823863115
[2024-07-04 13:09:23,645][root][INFO] - 0.015930116619057966
[2024-07-04 13:09:23,645][root][INFO] - 0.010477884354586742
[2024-07-04 13:09:23,645][root][INFO] - 0.21810465605795315
[2024-07-04 13:09:23,646][root][INFO] - 0.017658001188050276
[2024-07-04 13:09:23,646][root][INFO] - 0.012586137285298449
[2024-07-04 13:09:23,646][root][INFO] - 0.012483924453743356
[2024-07-04 13:09:23,646][root][INFO] - 0.0117658354655239
[2024-07-04 13:09:23,647][root][INFO] - 0.011642047125314914
[2024-07-04 13:09:23,647][root][INFO] - 0.017765376962101787
[2024-07-04 13:09:23,648][root][INFO] - 0.06199715757982238
[2024-07-04 13:09:23,648][root][INFO] - 0.01486627236532545
[2024-07-04 13:09:23,648][root][INFO] - 0.02105168635538579
[2024-07-04 13:09:23,649][root][INFO] - 0.03311363461283512
[2024-07-04 13:09:23,649][root][INFO] - 0.03282360454732247
[2024-07-04 13:09:23,650][root][INFO] - 0.012801937546196962
[2024-07-04 13:09:23,650][root][INFO] - 0.012754748316346154
[2024-07-04 13:09:23,651][root][INFO] - 0.010253408727185054
[2024-07-04 13:09:23,651][root][INFO] - 0.0033748634234642694
[2024-07-04 13:09:23,651][root][INFO] - 0.02407271038824277
[2024-07-04 13:09:23,652][root][INFO] - 0.020968506745629334
[2024-07-04 13:09:23,652][root][INFO] - 0.014505665922017297
[2024-07-04 13:09:23,653][root][INFO] - 0.023706228708172628
[2024-07-04 13:09:23,653][root][INFO] - 0.035634241536313116
[2024-07-04 13:09:23,654][root][INFO] - 0.008179554109847276
[2024-07-04 13:09:23,654][root][INFO] - 0.020709746545978014
[2024-07-04 13:09:23,654][root][INFO] - 0.00520643116982944
[2024-07-04 13:09:23,655][root][INFO] - 0.02340286988886553
[2024-07-04 13:09:23,655][root][INFO] - 0.07605071055312318
[2024-07-04 13:09:23,656][root][INFO] - 0.024361840212204555
[2024-07-04 13:09:23,656][root][INFO] - 0.016497336340047575
[2024-07-04 13:09:23,657][root][INFO] - 0.004043281522314146
[2024-07-04 13:09:23,657][root][INFO] - 0.026639001371540516
[2024-07-04 13:09:23,657][root][INFO] - 0.06947482942338068
[2024-07-04 13:09:23,658][root][INFO] - 0.009451338278855914
[2024-07-04 13:09:23,658][root][INFO] - 0.01281202593571229
[2024-07-04 13:09:23,659][root][INFO] - 0.004696232357324304
[2024-07-04 13:09:23,659][root][INFO] - 0.0047605844198486125
[2024-07-04 13:09:23,660][root][INFO] - 0.05866954792797552
[2024-07-04 13:09:23,660][root][INFO] - 0.028580651321920003
[2024-07-04 13:09:23,660][root][INFO] - 0.027908091896591714
[2024-07-04 13:09:23,661][root][INFO] - 0.013119220204298676
[2024-07-04 13:09:23,661][root][INFO] - 0.010019555014645132
[2024-07-04 13:09:23,662][root][INFO] - 0.046643443796891226
[2024-07-04 13:09:23,662][root][INFO] - 0.00992090718340144
[2024-07-04 13:09:23,662][root][INFO] - 0.01074286980194028
[2024-07-04 13:09:23,663][root][INFO] - 0.002351502228135516
[2024-07-04 13:09:23,663][root][INFO] - 0.00906667066447775
[2024-07-04 13:09:23,664][root][INFO] - 0.05606122058368124
[2024-07-04 13:09:23,664][root][INFO] - 0.02938228459069947
[2024-07-04 13:09:23,664][root][INFO] - 0.0024296045599565552
[2024-07-04 13:09:23,665][root][INFO] - 0.022440615135706832
[2024-07-04 13:09:23,665][root][INFO] - 0.016651180432841972
[2024-07-04 13:09:23,666][root][INFO] - 0.04627459743610385
[2024-07-04 13:09:23,666][root][INFO] - 0.0035390718501204788
[2024-07-04 13:09:23,667][root][INFO] - 0.02220139570343349
[2024-07-04 13:09:23,667][root][INFO] - 0.002519347789515569
[2024-07-04 13:09:23,668][root][INFO] - 0.015085419283687784
[2024-07-04 13:09:23,668][root][INFO] - 0.01019593927687068
[2024-07-04 13:09:23,668][root][INFO] - 0.015784256509614458
[2024-07-04 13:09:23,669][root][INFO] - 0.008346419554874585
[2024-07-04 13:09:23,669][root][INFO] - 0.009621839334648996
[2024-07-04 13:09:23,669][root][INFO] - 0.0066502745930447915
[2024-07-04 13:09:23,670][root][INFO] - 0.03927035490843611
[2024-07-04 13:09:23,670][root][INFO] - 0.0059747937441241294
[2024-07-04 13:09:23,670][root][INFO] - 0.018127698096069844
[2024-07-04 13:09:23,671][root][INFO] - 5.84483599750385e-05
[2024-07-04 13:09:23,671][root][INFO] - 0.01990355006714406
[2024-07-04 13:09:23,672][root][INFO] - 0.025438435283290373
[2024-07-04 13:09:23,672][root][INFO] - 0.025365359407415244
