INFO 06-25 10:01:05 llm_engine.py:337] # GPU blocks: 27885, # CPU blocks: 2048
INFO 06-25 10:01:06 model_runner.py:666] Capturing the model for CUDA graphs. This may lead to unexpected consequences if the model is not static. To run the model in eager mode, set 'enforce_eager=True' or use '--enforce-eager' in the CLI.
INFO 06-25 10:01:06 model_runner.py:670] CUDA graphs can take additional 1~3 GiB memory per GPU. If you are running out of memory, consider decreasing `gpu_memory_utilization` or enforcing eager mode. You can also reduce the `max_num_seqs` as needed to decrease memory usage.
[2024-06-25 10:01:06,587][root][INFO] - Computing EIG. Start Prompt: 0. End Prompt: 100
Saving to: data/expected_info_gain/hai_start_0_end_100_n_user_1_seed_0_4_shots.json
Convo file: data/conversations/hai_start_0_end_100_n_user_1_seed_0_4_shots.json
N_USER: 1
INFO 06-25 10:01:06 llm_engine.py:79] Initializing an LLM engine with config: model='meta-llama/Meta-Llama-3-8B-Instruct', tokenizer='meta-llama/Meta-Llama-3-8B-Instruct', tokenizer_mode=auto, revision=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=8192, download_dir='/scr/jphilipp/stargate/pretrained_models/Meta-Llama-3-8B-Instruct', load_format=auto, tensor_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=False, kv_cache_dtype=auto, device_config=cuda, seed=0)
INFO 06-25 10:01:09 weight_utils.py:163] Using model weights format ['*.safetensors']
INFO 06-25 10:01:09 model_runner.py:738] Graph capturing finished in 4 secs.
INFO 06-25 10:01:12 llm_engine.py:337] # GPU blocks: 27885, # CPU blocks: 2048
INFO 06-25 10:01:13 model_runner.py:666] Capturing the model for CUDA graphs. This may lead to unexpected consequences if the model is not static. To run the model in eager mode, set 'enforce_eager=True' or use '--enforce-eager' in the CLI.
INFO 06-25 10:01:13 model_runner.py:670] CUDA graphs can take additional 1~3 GiB memory per GPU. If you are running out of memory, consider decreasing `gpu_memory_utilization` or enforcing eager mode. You can also reduce the `max_num_seqs` as needed to decrease memory usage.
INFO 06-25 10:01:16 model_runner.py:738] Graph capturing finished in 3 secs.
[2024-06-25 10:10:29,294][root][INFO] - 0.014658864981851538
[2024-06-25 10:10:29,295][root][INFO] - 0.012827593546490323
[2024-06-25 10:10:29,295][root][INFO] - 0.014739617179444942
[2024-06-25 10:10:29,295][root][INFO] - 0.004526112786445324
[2024-06-25 10:10:29,295][root][INFO] - 0.015229098479809133
[2024-06-25 10:10:29,295][root][INFO] - 0.0009542202301819902
[2024-06-25 10:10:29,296][root][INFO] - 0.00033153164590293827
[2024-06-25 10:10:29,296][root][INFO] - 5.046524665264229e-05
[2024-06-25 10:10:29,296][root][INFO] - 6.396025025368068e-05
[2024-06-25 10:10:29,296][root][INFO] - 4.709914001033155e-06
[2024-06-25 10:10:29,296][root][INFO] - 0.003504911282970369
[2024-06-25 10:10:29,296][root][INFO] - 0.0009437198875954511
[2024-06-25 10:10:29,296][root][INFO] - 0.004311220847269759
[2024-06-25 10:10:29,296][root][INFO] - 0.0005594584137531555
[2024-06-25 10:10:29,297][root][INFO] - 0.005798219311274
[2024-06-25 10:10:29,297][root][INFO] - 0.0032198016236411053
[2024-06-25 10:10:29,297][root][INFO] - 0.0022375642435301657
[2024-06-25 10:10:29,297][root][INFO] - 0.0006431153312798088
[2024-06-25 10:10:29,297][root][INFO] - 0.0006121130867366986
[2024-06-25 10:10:29,297][root][INFO] - 0.003785240041048965
[2024-06-25 10:10:29,297][root][INFO] - 0.03179543914773708
[2024-06-25 10:10:29,297][root][INFO] - 0.015055118311856797
[2024-06-25 10:10:29,298][root][INFO] - 0.01802595619988634
[2024-06-25 10:10:29,298][root][INFO] - 0.030304715029549234
[2024-06-25 10:10:29,298][root][INFO] - 0.006981816665224683
[2024-06-25 10:10:29,298][root][INFO] - 7.009499502386163e-05
[2024-06-25 10:10:29,298][root][INFO] - 0.004926254116123463
[2024-06-25 10:10:29,298][root][INFO] - 0.0020536503689054797
[2024-06-25 10:10:29,298][root][INFO] - 0.0008694313905506235
[2024-06-25 10:10:29,298][root][INFO] - 0.0015241528184155584
[2024-06-25 10:10:29,298][root][INFO] - 0.0007143025175937456
[2024-06-25 10:10:29,299][root][INFO] - 0.005239775620446974
[2024-06-25 10:10:29,299][root][INFO] - 0.015020706996647482
[2024-06-25 10:10:29,299][root][INFO] - 0.0031797174742642653
[2024-06-25 10:10:29,299][root][INFO] - 0.010456550238777229
[2024-06-25 10:10:29,299][root][INFO] - 0.00024252117492262748
[2024-06-25 10:10:29,299][root][INFO] - 0.00151439066487713
[2024-06-25 10:10:29,299][root][INFO] - 0.0005581933537299744
[2024-06-25 10:10:29,300][root][INFO] - 0.003455435159378517
[2024-06-25 10:10:29,300][root][INFO] - 0.0005467952359821115
[2024-06-25 10:10:29,300][root][INFO] - 0.03270402200617761
[2024-06-25 10:10:29,300][root][INFO] - 0.02468943033270543
[2024-06-25 10:10:29,300][root][INFO] - 0.005432218371567155
[2024-06-25 10:10:29,300][root][INFO] - 0.02243675529839262
[2024-06-25 10:10:29,300][root][INFO] - 0.03009661251145701
[2024-06-25 10:10:29,300][root][INFO] - 0.0029248100687451206
[2024-06-25 10:10:29,300][root][INFO] - 0.00034799467508617177
[2024-06-25 10:10:29,301][root][INFO] - 0.0018703711227527897
[2024-06-25 10:10:29,301][root][INFO] - 0.0007031029259487731
[2024-06-25 10:10:29,301][root][INFO] - 0.005928733520190965
[2024-06-25 10:10:29,301][root][INFO] - 0.008997502682813074
[2024-06-25 10:10:29,301][root][INFO] - 0.0019067641729244578
[2024-06-25 10:10:29,301][root][INFO] - 0.001886605463414126
[2024-06-25 10:10:29,301][root][INFO] - 0.00017394370985668317
[2024-06-25 10:10:29,301][root][INFO] - 0.004046028233908983
[2024-06-25 10:10:29,302][root][INFO] - 0.00837814809498627
[2024-06-25 10:10:29,302][root][INFO] - 0.001723964184536353
[2024-06-25 10:10:29,302][root][INFO] - 0.009904069882710642
[2024-06-25 10:10:29,302][root][INFO] - 0.0011392802541430047
[2024-06-25 10:10:29,302][root][INFO] - 0.004080309115724656
[2024-06-25 10:10:29,302][root][INFO] - 0.020112884957183663
